customer_id,list_price,standard_cost
1,825.8590909090909,551.4872727272727
2,1383.0233333333333,640.9366666666666
3,1236.02875,815.6775
4,523.86,413.575
5,983.8666666666667,584.71
6,1186.3380000000002,397.028
7,331.79333333333335,258.42333333333335
8,1202.4759999999999,495.78200000000004
9,892.9249999999998,500.74
10,1177.9716666666666,329.094
11,1129.9066666666668,523.4333333333333
12,913.4585714285714,407.73999999999995
13,1104.962857142857,485.3371428571428
14,898.3925,265.16333333333336
15,820.5566666666667,532.4916666666667
16,1552.758,648.39
17,935.238,532.116
18,1268.3742857142859,762.1771428571428
19,1412.7300000000002,428.8
20,1654.715,752.645
21,1489.242,643.36
22,1193.29375,548.31375
23,1202.2185714285715,333.6016666666667
24,1009.8687500000001,456.5942857142857
25,833.0275,388.55583333333334
26,1314.3733333333332,988.8050000000001
27,1097.1385714285714,629.3885714285714
28,915.4833333333335,354.39000000000004
29,1206.1744444444444,520.0300000000001
30,1245.5066666666664,367.52333333333337
31,777.5,670.9725000000001
32,1124.74,721.4371428571428
33,1340.6042857142857,584.28
34,1459.2222222222222,909.155
35,1045.57,118.9425
36,890.52,788.34
37,1254.6344444444444,550.3577777777778
38,1125.6475,619.3125
39,936.4325,429.33500000000004
40,1029.2116666666666,270.52833333333336
41,1012.6833333333333,490.58444444444444
42,484.115,377.355
43,730.51,328.29333333333335
44,1071.0571428571427,389.8742857142857
45,970.7766666666666,621.3933333333333
46,984.6279999999999,659.902
47,1146.0014285714285,527.1171428571429
48,1206.7649999999999,511.63
49,1516.584,666.848
50,1156.5825,433.625
51,1208.4325000000001,601.5075
52,1443.7957142857142,726.98
53,1094.548,504.534
54,1401.9514285714286,816.4928571428571
55,844.27625,441.66875000000005
56,722.9799999999999,540.8028571428572
57,1458.125,605.1316666666667
58,870.9137499999999,433.2425
59,932.4899999999999,56.36666666666667
60,763.45,439.84000000000003
61,1199.6114285714286,545.8533333333334
62,974.3250000000002,154.1783333333333
63,1385.5533333333333,655.5366666666666
64,822.2239999999999,712.888
65,1342.745,602.4766666666667
66,1297.866,388.026
67,1060.83,820.1720000000001
68,1709.3266666666666,428.47333333333336
69,1399.2916666666667,516.8333333333334
70,960.222,412.842
71,1415.01,1259.36
72,872.0840000000001,372.2675
73,877.645,491.56
74,995.2133333333333,673.04
75,891.32875,268.83625
76,928.13,569.61
77,988.2433333333333,435.71666666666664
78,569.56,528.43
79,1126.905,693.995
80,1256.482,657.596
81,1105.425,293.17
82,1058.782,473.908
83,744.1083333333332,444.4083333333333
84,780.6642857142858,452.77571428571434
85,526.4383333333333,432.5433333333333
86,813.2611111111112,551.0288888888889
87,888.3033333333333,472.66333333333336
88,925.1383333333333,502.75
89,1415.7155555555555,773.5322222222222
90,1100.5114285714285,673.2642857142857
91,1008.3050000000001,353.00374999999997
92,1699.4766666666667,710.3299999999999
93,1758.7099999999998,766.5733333333334
94,1186.5385714285715,486.22285714285715
95,1262.4499999999998,499.7475
96,968.71,549.36
97,1111.99375,498.09250000000003
98,1236.01,849.8979999999999
99,919.8955555555555,413.49
100,1374.1,935.4000000000001
101,1077.455,429.98249999999996
102,951.3171428571429,581.7442857142858
103,981.9680000000001,799.3040000000001
104,998.4044444444444,469.58375
105,1558.5875,689.8275
106,968.7199999999999,130.82333333333332
107,836.2750000000001,250.2825
108,1185.5533333333333,333.08
109,1066.151,623.085
110,1112.672857142857,738.1657142857142
111,1218.2649999999999,464.6325
112,1509.9816666666666,552.9499999999999
113,902.1616666666665,513.9133333333333
114,808.25,259.435
115,1049.7725,657.78875
116,707.99,402.04749999999996
117,1285.683,593.949
118,1063.902,353.88199999999995
119,1304.415,250.10500000000002
120,1039.4466666666667,603.8533333333334
121,1081.86,358.8375
122,1306.6779999999999,767.634
123,1334.4475,523.01
124,1181.7357142857143,602.5571428571428
125,710.732,376.231
126,1149.3733333333332,783.8866666666667
127,994.9620000000001,595.591
128,919.9375,371.6725
129,1022.62,334.1825
130,1670.21,780.4200000000001
131,1457.5466666666669,541.7283333333334
132,1227.655,764.2016666666667
133,632.9100000000001,472.13199999999995
134,1195.1583333333333,704.0883333333333
135,980.0657142857143,330.13714285714286
136,1175.85625,732.95625
137,701.41,402.12
138,703.907142857143,221.46142857142857
139,1182.0988888888887,608.6055555555555
140,1274.89,824.9066666666666
141,1351.3266666666668,638.5433333333334
142,1134.0672727272727,777.9454545454545
143,1172.3025,553.61
144,1120.1425,509.14000000000004
145,1164.1699999999998,715.5557142857142
146,986.645,878.115
147,1346.515,507.4883333333333
148,1161.766,508.08600000000007
149,1181.955,814.5416666666666
150,907.74,296.1125
151,1630.9425,822.4914285714286
152,1470.685,487.245
153,1115.4514285714286,326.5214285714286
154,593.0516666666666,567.5799999999999
155,1336.17,973.3633333333333
156,966.316,347.242
157,635.3475,512.29
158,1203.5083333333334,432.2833333333333
159,1002.7199999999999,513.4916666666667
160,1512.29,205.20999999999998
161,1148.64,689.18
162,1105.8233333333333,662.62
163,1544.62,993.98
164,861.2833333333333,599.2366666666667
165,1099.3055555555557,412.3588888888889
166,1217.215,692.535
167,1098.7344444444445,432.8077777777778
168,1126.138888888889,345.3525
169,688.36,456.27333333333337
170,1063.5775,608.375
171,1096.1533333333334,564.33875
172,1268.7675,985.9371428571428
173,1562.3866666666665,834.6633333333334
174,1289.357,526.533
175,1201.606,767.4979999999999
176,1346.6299999999999,728.616
177,985.5283333333333,643.145
178,876.0225,329.8775
179,1056.28,451.4166666666667
180,1138.652857142857,557.8885714285715
181,943.9833333333332,379.406
182,1325.5728571428572,552.8414285714285
183,991.3299999999999,460.02333333333337
184,1244.96,517.8433333333334
185,1322.0399999999997,815.2285714285715
186,925.1416666666668,564.1133333333333
187,985.5414285714286,554.8442857142858
188,854.3449999999999,411.2
189,1726.738,660.742
190,770.7675,594.6975
191,1065.03,230.09
192,959.0725,579.2049999999999
193,1473.672,963.372
194,1437.8433333333335,568.4166666666666
195,1782.78,406.5785714285715
196,793.32625,326.07625
197,939.5577777777778,533.8122222222222
198,1294.3166666666666,557.4422222222222
199,1080.9650000000001,418.3325
200,1235.2622222222224,425.94444444444446
201,1145.9225000000001,599.795
202,837.2733333333334,405.3033333333333
203,875.2520000000001,579.028
204,1430.5,644.58875
205,767.2088888888889,544.0677777777778
206,1408.4524999999999,454.28999999999996
207,1482.7533333333333,939.41
208,1031.7959999999998,363.392
209,1218.6960000000001,602.482
210,1467.5333333333335,974.695
211,1119.3066666666666,664.8566666666667
212,1214.9,319.695
213,1232.3236363636363,455.5509090909091
214,1139.0766666666666,722.6033333333335
215,1060.645,574.47125
216,1166.194,662.39
217,1433.15625,1141.195
218,846.5360000000001,412.35749999999996
219,1130.7957142857142,744.6566666666668
220,1243.115,525.7633333333334
221,1121.64,477.35999999999996
222,1313.405,599.375
223,1400.7857142857142,770.7757142857143
224,1034.91,419.56166666666667
225,805.3766666666667,276.1933333333333
226,819.975,233.04500000000002
227,1117.826,336.62
228,1035.634,291.684
229,894.6139999999999,532.246
230,1068.6909090909091,585.0881818181819
231,1334.66,748.53
